Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,Elite%
G,230737,Mark Travers,4.0,4.0,BOU,63,62,61,61,59,60,0,0,0,0,0,0,3.031078003717836,2.940319624704959,3.0443288407188844,2.881751608881786,2.886550405,3.304459371802196,0,0,0,0,0,0,0
M,255546,James Garner,5.0,5.0,EVE,82,80,79,76,75,78,0,0,0,0,0,0,3.13041595,2.807560979988568,3.1035699411290487,2.783459188186029,3.0625926113004014,3.0814040021504208,0,0,0,0,0,0,0
M,3762913,Morgan Rogers,5.0,5.0,AVL,74,73,71,69,68,68,0,0,0,0,0,0,3.139502823048393,2.24860797,3.1241030014979336,3.0379727579304934,3.247457605009997,3.1633350888741503,0,0,0,0,0,0,0
D,3762190,Daniel MuAoz,4.5,4.5,CRY,88,85,81,80,78,78,0,0,0,0,0,0,2.882569588835665,3.500761675553884,1.979304271552496,3.7322357279647007,3.046539654702904,2.7307679499407533,0,0,0,0,0,0,0
M,219749,Anthony Elanga,6.0,6.0,FOR,62,62,60,61,60,59,0,0,0,0,0,0,3.084593335624937,3.1676366221028043,3.2603906822731044,2.411131487142612,2.682402249469264,3.067889951218598,0,0,0,0,0,0,0
M,3879566,Conor Chaplin,6.0,6.0,IPS,80,75,74,72,72,71,0,0,0,0,0,0,2.935702627776637,2.184333808,3.420943737538252,2.709653693857044,3.1963526598915086,3.1554106194038964,0,0,0,0,0,0,0
D,91161,Fabian SchAr,6.0,6.0,NEW,90,87,86,84,84,82,0,0,0,0,0,0,4.181155291596877,2.722315757891718,2.758201822,3.1379905222264792,2.9077857756586782,1.8598133664039047,0,0,0,0,0,0,0
F,40266,Dominic Calvert-Lewin,6.0,6.0,EVE,68,63,61,59,58,55,0,0,0,0,0,0,3.260262662,2.826172039219661,3.0501854784390314,2.698056593943507,2.875520303433422,2.6921693700674547,0,0,0,0,0,0,0
M,2930166,Antoine Semenyo,6.0,6.0,BOU,67,65,63,62,60,60,0,0,0,0,0,0,2.9206247539375214,3.0807280843782863,2.795230445667145,2.8666527085420186,2.287507618887753,3.410218256946231,0,0,0,0,0,0,0
D,3556529,Iyenoma Udogie,5.0,5.0,TOT,86,83,82,80,78,76,0,0,0,0,0,0,3.6047272134051394,3.535304288765648,2.234814607,1.900438078739886,3.371966985958048,2.676001064997409,0,0,0,0,0,0,0
F,1677500,Darwin NAoAez,8.0,8.0,LIV,46,47,47,48,50,49,0,0,0,0,0,0,2.670404893775734,2.871721534045728,2.499501765203098,3.031801790171839,3.2493631474085904,2.961067549973332,0,0,0,0,0,0,0
M,160700,TomAA SouAek,5.5,5.5,WHU,79,72,70,69,69,69,0,0,0,0,0,0,3.288170483513744,2.858812195941726,2.383283685861512,2.885343082686948,2.796357401317945,2.838685966,0,0,0,0,0,0,0
D,23260,Kyle Walker,6.0,6.0,MCI,66,63,64,62,63,61,0,0,0,0,0,0,2.3650261784828706,3.6895851324762168,2.909305678248875,3.211506548295241,2.428289713801491,2.296489445049729,0,0,0,0,0,0,0
D,187804,Joachim Andersen,4.5,4.5,CRY,92,89,87,87,87,86,0,0,0,0,0,0,2.6522815586916866,3.195555888,1.7447794581257652,3.574183456946008,2.883864618547886,2.663415446,0,0,0,0,0,0,0
D,23287,James Tarkowski,4.5,4.5,EVE,89,88,86,85,84,82,0,0,0,0,0,0,3.0817754733861165,1.9841063055101351,3.0717530602719822,2.228075260809911,3.21602052,3.0959229926604044,0,0,0,0,0,0,0
D,45008,Lewis Dunk,4.5,4.5,BHA,91,89,88,86,84,84,0,0,0,0,0,0,2.8894721506912537,3.185933526527708,1.4426506579083451,4.052834553429056,3.150239078285192,1.887022513713108,0,0,0,0,0,0,0
M,3879498,Daichi Kamada,5.5,5.5,CRY,62,60,60,59,60,58,0,0,0,0,0,0,2.722858506375226,2.982043749117779,2.439961509501376,3.0235301349612485,2.865233941372069,2.545679650491411,0,0,0,0,0,0,0
F,23550,Michail Antonio,6.0,6.0,WHU,68,65,65,63,62,63,0,0,0,0,0,0,3.1907213363420235,2.720542587429995,2.2760423666909904,2.8026014865880224,2.780356263165776,2.767393122704742,0,0,0,0,0,0,0
M,258290,Ryan Christie,5.0,5.0,BOU,77,75,72,71,71,68,0,0,0,0,0,0,2.8249629570470045,2.863127331049589,2.727731080301928,2.675208953807177,2.313914785706677,3.108683833721814,0,0,0,0,0,0,0
