Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
M,368.0,Casemiro,5.5,5.5,Man Utd,83,3.4717179636308795,81,2.9525819019598902,79,2.735559195309844,78,3.2935387286953905,76,2.8956405922967634,73,2.8576237538998703,0,0,0,0,0,0,0,0,0,0,0,0
M,274.0,Omari Hutchinson,5.5,5.5,Ipswich,79,2.9546342335334472,79,2.359580644360556,75,3.436560028707721,75,2.854012646388971,74,3.274802798412096,74,3.280605226972977,0,0,0,0,0,0,0,0,0,0,0,0
G,84.0,Mark Travers,4.0,4.0,Bournemouth,63,3.031078003717836,62,2.940319624704959,61,3.0443288407188844,61,2.881751608881786,59,2.8865504052231,60,3.304459371802196,0,0,0,0,0,0,0,0,0,0,0,0
M,223.0,James Garner,5.0,5.0,Everton,82,3.13041594997597,80,2.807560979988568,79,3.1035699411290487,76,2.783459188186029,75,3.0625926113004014,78,3.0814040021504208,0,0,0,0,0,0,0,0,0,0,0,0
M,54.0,Morgan Rogers,5.0,5.0,Aston Villa,74,3.139502823048393,73,2.2486079704187,71,3.1241030014979336,69,3.0379727579304934,68,3.247457605009997,68,3.1633350888741503,0,0,0,0,0,0,0,0,0,0,0,0
D,211.0,Daniel Muñoz,4.5,4.5,Crystal Palace,88,2.882569588835665,85,3.500761675553884,81,1.979304271552496,80,3.7322357279647007,78,3.046539654702904,78,2.7307679499407533,0,0,0,0,0,0,0,0,0,0,0,0
M,432.0,Anthony Elanga,6.0,6.0,Nott'm Forest,62,3.084593335624937,62,3.1676366221028043,60,3.2603906822731044,61,2.411131487142612,60,2.682402249469264,59,3.067889951218598,0,0,0,0,0,0,0,0,0,0,0,0
M,265.0,Conor Chaplin,6.0,6.0,Ipswich,80,2.935702627776637,75,2.18433380754048,74,3.420943737538252,72,2.709653693857044,72,3.1963526598915086,71,3.1554106194038964,0,0,0,0,0,0,0,0,0,0,0,0
D,415.0,Fabian Schär,6.0,6.0,Newcastle,90,4.181155291596877,87,2.722315757891718,86,2.75820182180104,84,3.1379905222264792,84,2.9077857756586782,82,1.8598133664039052,0,0,0,0,0,0,0,0,0,0,0,0
F,220.0,Dominic Calvert-Lewin,6.0,6.0,Everton,68,3.26026266173336,63,2.826172039219661,61,3.0501854784390314,59,2.698056593943507,58,2.875520303433422,55,2.6921693700674547,0,0,0,0,0,0,0,0,0,0,0,0
M,78.0,Antoine Semenyo,6.0,6.0,Bournemouth,67,2.9206247539375214,65,3.0807280843782863,63,2.795230445667145,62,2.8666527085420186,60,2.287507618887753,60,3.410218256946231,0,0,0,0,0,0,0,0,0,0,0,0
D,505.0,Iyenoma Udogie,5.0,5.0,Spurs,86,3.6047272134051394,83,3.535304288765648,82,2.23481460729104,80,1.900438078739886,78,3.371966985958048,76,2.676001064997409,0,0,0,0,0,0,0,0,0,0,0,0
F,316.0,Darwin Núñez,8.0,8.0,Liverpool,46,2.670404893775734,47,2.871721534045728,47,2.499501765203098,48,3.031801790171839,50,3.2493631474085904,49,2.961067549973332,0,0,0,0,0,0,0,0,0,0,0,0
M,530.0,Tomáš Souček,5.5,5.5,West Ham,79,3.288170483513744,72,2.858812195941726,70,2.383283685861512,69,2.8853430826869477,69,2.796357401317945,69,2.83868596599982,0,0,0,0,0,0,0,0,0,0,0,0
D,363.0,Kyle Walker,6.0,6.0,Man City,66,2.3650261784828706,63,3.6895851324762168,64,2.909305678248875,62,3.211506548295241,63,2.428289713801491,61,2.296489445049729,0,0,0,0,0,0,0,0,0,0,0,0
